id;level_1;level_2;level_3;level_4;level_5;bezug;motiv_zielbildung;informationsaufnahme;informationsintegration;aktionsauswahl;aktionsausführung;effektkontrolle;utterance;tp;absatz;level_0;recipe_no;step_no;step_component_no;recipe_id;step_component_text;step_text;task_level_0;task_level_1;seq;norm_seq;next_norm_seq;previous_need;penultimate_need
2689;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;explicit;plan;in;offen;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten.;1;4;fact;0;0;0;0.0;;;;;1;0.008333333;0.01666667;;
2690;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;explicit;plan;in;offen;offen;in;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel.;1;4;fact;0;0;0;0.0;;;;;2;0.016666667;0.025;Recipe;
2783;Recipe;Recipe Retrieval;Request for Recipe Search Success;;;plan;in;offen;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden?;1;6;fact;0;0;0;0.0;;;;;3;0.025;0.03333333;Recipe;Recipe
2602;Recipe;Recipe Summary;;;;plan;fertig;fertig;in;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße?;1;10;fact;0;0;0;0.0;;;;;4;0.033333333;0.04166667;Recipe;Recipe
2784;Recipe;Recipe Retrieval;Request for Recipe Search Success;;;plan;in;offen;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden?;1;14;fact;0;0;0;0.0;;;;;5;0.041666667;0.05;Recipe;Recipe
2603;Recipe;Recipe Summary;;;;plan;fertig;in;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben?;1;16;fact;0;0;0;0.0;;;;;6;0.05;0.05833333;Recipe;Recipe
1069;Ingredient;Ingredients in Recipe;Ingredients in Recipe - explicit;;;plan;fertig;in;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind?;1;18;fact;0;0;0;0.0;;;;;7;0.058333333;0.06666667;Recipe;Recipe
1002;Ingredient;Ingredients in Recipe;Ingredients during process;Remaining Ingredients to process;;plan;fertig;in;in;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz;1;20;fact;0;0;0;0.0;;;;;8;0.066666667;0.075;Ingredient;Recipe
1654;Preparation;Preparation Steps;Next Preparation Step;;;plan;fertig;in;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter?;1;22;competence;0;0;0;0.0;;;;;9;0.075;0.08333333;Ingredient;Ingredient
2761;Recipe;Recipe Retrieval;Alternative Recipe Request;implicit;;plan;fertig;fertig;fertig;in;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter? Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen.;1;24;fact;0;0;0;0.0;;;;;10;0.083333333;0.09166667;Preparation;Ingredient
2691;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Ingredients;explicit;plan;in;offen;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter? Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen. Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas;1;26;fact;0;0;0;0.0;;;;;11;0.091666667;0.1;Recipe;Preparation
2660;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Names;explicit;plan;in;offen;offen;offen;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter? Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen. Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas. Google mal Spargelgratin was da rauskommt. Ob es sowas gibt.;1;28;fact;0;0;0;0.0;;;;;12;0.1;0.10833333;Recipe;Recipe
2661;Recipe;Recipe Retrieval;Recipe Request;Recipe Request with Names;explicit;plan;in;offen;offen;in;offen;offen;Ähm kannst du mir Gerichte mit Spargel suchen mit möglichst vielen Milchprodukten. Also ich hab überlegt Spargel mit Tomatenrühreiern dann wären drei Gerichte weg ähm aber das passt glaub ich nicht zusammen und keine Ahnung. Also wir brauchen ja irgendeine Soße zu dem zum Spargel. Ja oder äh hast du schon was gefunden? Und was ist die kalorienarme Soße? Ja hast du ein Rezept gefunden? Ja und kannst mir das beschreiben? Welche Zutaten drin sind? Was ist noch drin Zitronensaft ist auch so ein Gewürz. Mach weiter? Aber ich glaub das schmeckt scheiße das möchte ich nicht kochen. Such Soße auf Sahne oder zumindest Milchbasis oder Crème fraîche oder IRgendwas. Google mal Spargelgratin was da rauskommt. Ob es sowas gibt. Also Gemüßeauflauf mit Spargel Tomaten und Paprika mit einer Soße auf ja so einer äh Milch Ei oder Sahnebasis.;1;28;fact;0;0;0;0.0;;;;;13;0.108333333;0.11666667;Recipe;Recipe
